TD Error Mean: 0.0171, TD Error Std: 0.0109, Q1 Loss: 0.0003, Q2 Loss: 0.0001, Policy Loss: -5.3754, Log Prob Mean: -5.4348, Log Prob Std: 0.5651, Alpha: 0.9935, Log Alpha: -0.0065
TD Error Mean: 0.0141, TD Error Std: 0.0089, Q1 Loss: 0.0002, Q2 Loss: 0.0000, Policy Loss: -5.3682, Log Prob Mean: -5.4199, Log Prob Std: 0.4593, Alpha: 0.9934, Log Alpha: -0.0066
TD Error Mean: 0.0144, TD Error Std: 0.0103, Q1 Loss: 0.0002, Q2 Loss: 0.0001, Policy Loss: -5.3508, Log Prob Mean: -5.4043, Log Prob Std: 0.4483, Alpha: 0.9933, Log Alpha: -0.0067
TD Error Mean: 0.0125, TD Error Std: 0.0086, Q1 Loss: 0.0002, Q2 Loss: 0.0001, Policy Loss: -5.4103, Log Prob Mean: -5.4615, Log Prob Std: 0.4998, Alpha: 0.9932, Log Alpha: -0.0068
TD Error Mean: 0.0108, TD Error Std: 0.0069, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.3130, Log Prob Mean: -5.3602, Log Prob Std: 0.4111, Alpha: 0.9931, Log Alpha: -0.0069
TD Error Mean: 0.0118, TD Error Std: 0.0090, Q1 Loss: 0.0002, Q2 Loss: 0.0001, Policy Loss: -5.4326, Log Prob Mean: -5.4813, Log Prob Std: 0.4123, Alpha: 0.9930, Log Alpha: -0.0070
TD Error Mean: 0.0123, TD Error Std: 0.0087, Q1 Loss: 0.0002, Q2 Loss: 0.0000, Policy Loss: -5.3543, Log Prob Mean: -5.4010, Log Prob Std: 0.4412, Alpha: 0.9929, Log Alpha: -0.0071
TD Error Mean: 0.0136, TD Error Std: 0.0096, Q1 Loss: 0.0002, Q2 Loss: 0.0000, Policy Loss: -5.3491, Log Prob Mean: -5.3998, Log Prob Std: 0.4222, Alpha: 0.9928, Log Alpha: -0.0072
TD Error Mean: 0.0137, TD Error Std: 0.0080, Q1 Loss: 0.0002, Q2 Loss: 0.0000, Policy Loss: -5.4178, Log Prob Mean: -5.4584, Log Prob Std: 0.4112, Alpha: 0.9927, Log Alpha: -0.0073
TD Error Mean: 0.0127, TD Error Std: 0.0084, Q1 Loss: 0.0002, Q2 Loss: 0.0001, Policy Loss: -5.5073, Log Prob Mean: -5.5520, Log Prob Std: 0.6335, Alpha: 0.9926, Log Alpha: -0.0074
TD Error Mean: 0.0128, TD Error Std: 0.0072, Q1 Loss: 0.0002, Q2 Loss: 0.0000, Policy Loss: -5.2559, Log Prob Mean: -5.3019, Log Prob Std: 0.3703, Alpha: 0.9925, Log Alpha: -0.0075
TD Error Mean: 0.0100, TD Error Std: 0.0078, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.3740, Log Prob Mean: -5.4288, Log Prob Std: 0.4105, Alpha: 0.9924, Log Alpha: -0.0076
TD Error Mean: 0.0110, TD Error Std: 0.0079, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.4588, Log Prob Mean: -5.5154, Log Prob Std: 0.4050, Alpha: 0.9923, Log Alpha: -0.0077
TD Error Mean: 0.0107, TD Error Std: 0.0087, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.4294, Log Prob Mean: -5.4730, Log Prob Std: 0.4805, Alpha: 0.9922, Log Alpha: -0.0078
TD Error Mean: 0.0097, TD Error Std: 0.0064, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.4018, Log Prob Mean: -5.4594, Log Prob Std: 0.4895, Alpha: 0.9921, Log Alpha: -0.0079
TD Error Mean: 0.0104, TD Error Std: 0.0072, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.2462, Log Prob Mean: -5.3016, Log Prob Std: 0.4113, Alpha: 0.9920, Log Alpha: -0.0080
TD Error Mean: 0.0112, TD Error Std: 0.0068, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.3610, Log Prob Mean: -5.4179, Log Prob Std: 0.3757, Alpha: 0.9919, Log Alpha: -0.0081
TD Error Mean: 0.0084, TD Error Std: 0.0067, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.3575, Log Prob Mean: -5.4015, Log Prob Std: 0.4225, Alpha: 0.9918, Log Alpha: -0.0082
TD Error Mean: 0.0076, TD Error Std: 0.0081, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.1302, Log Prob Mean: -5.1896, Log Prob Std: 0.4885, Alpha: 0.9917, Log Alpha: -0.0083
TD Error Mean: 0.0086, TD Error Std: 0.0052, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.4080, Log Prob Mean: -5.4630, Log Prob Std: 0.4973, Alpha: 0.9916, Log Alpha: -0.0084
TD Error Mean: 0.0087, TD Error Std: 0.0059, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.3154, Log Prob Mean: -5.3623, Log Prob Std: 0.3799, Alpha: 0.9915, Log Alpha: -0.0085
TD Error Mean: 0.0098, TD Error Std: 0.0072, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.3038, Log Prob Mean: -5.3510, Log Prob Std: 0.4526, Alpha: 0.9914, Log Alpha: -0.0086
TD Error Mean: 0.0105, TD Error Std: 0.0075, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.5361, Log Prob Mean: -5.5889, Log Prob Std: 0.5142, Alpha: 0.9913, Log Alpha: -0.0087
TD Error Mean: 0.0088, TD Error Std: 0.0051, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.4320, Log Prob Mean: -5.4767, Log Prob Std: 0.4901, Alpha: 0.9912, Log Alpha: -0.0088
